Tarea,Código BIM,Unidad,Cantidad Ejecutada,Cantidad Programada,% Completado,Comienzo Real,Fin Real,Duración Real,% Financiero Ejecutado,Desviación (%),% Programado,Variación de Finalización,Costo Previsto,Costo Real
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13968164,13968164.0,0,0 days,13968164,0
        Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,51311,51311.0,0,0 days,51311,0
        Piso,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2139269,2139269.0,0,0 days,2139269,0
          PULIDA Y BRILLADA DE PISO EN BALDOSA GRANO EXISTENTE. Incluye todo lo necesario para su correcta construcción y funcionamiento.,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2139269,2139269.0,0,0 days,2139269,0
      Baños Sociales,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,14291113,14291113.0,0,0 days,14291113,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,14291113,14291113.0,0,0 days,14291113,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,331604,331604.0,0,0 days,331604,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",23826,23826.0,0,0 days,23826,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,307778,307778.0,0,0 days,307778,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
      Tienda,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",15431957,15431957.0,0,0 days,15431957,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",15431957,15431957.0,0,0 days,15431957,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"4,5 days",391579,391579.0,0,0 days,391579,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",29047,29047.0,0,0 days,29047,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",362532,362532.0,0,0 days,362532,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",1048799,1048799.0,0,0 days,1048799,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,75358,75358.0,0,0 days,75358,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,973441,973441.0,0,0 days,973441,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",32070,32070.0,0,0 days,32070,0
      Circulación,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,30636762,30636762.0,0,0 days,30636762,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,30242720,30242720.0,0,0 days,30242720,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,8734855,8734855.0,0,0 days,8734855,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,489359,489359.0,0,0 days,489359,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,8245496,8245496.0,0,0 days,8245496,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,7330027,7330027.0,0,0 days,7330027,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,526680,526680.0,0,0 days,526680,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,6803347,6803347.0,0,0 days,6803347,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,13959509,13959509.0,0,0 days,13959509,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",218329,218329.0,0,0 days,218329,0
        Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,394042,394042.0,0,0 days,394042,0
"          Retiro de luminaria existente. Incluye el reintegro donde indique la interventoria dentro de la ciudad de Medellin y los elementos necesarios para su desinstalación. No incluye reparacion, ni chequeo, ni reinstalación.",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,394042,394042.0,0,0 days,394042,0
  Bloque 3,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-10-22 13:00:00,"20,5 days",47309826,47309826.0,100,0 days,47309826,47309826
    Piso 1,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-10-22 13:00:00,"20,5 days",47309826,47309826.0,100,0 days,47309826,47309826
      Coordinación,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-27 19:00:00,4 days,7345317,7345317.0,100,0 days,7345317,7345317
        Cubierta,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-27 19:00:00,4 days,7345317,7345317.0,100,0 days,7345317,7345317
          Canoas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-26 13:00:00,"2,5 days",1194675,1194675.0,100,0 days,1194675,1194675
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-24 13:00:00,"0,5 days",73355,73355.0,100,0 days,73355,73355
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-26 13:00:00,1 day,1121320,1121320.0,100,0 days,1121320,1121320
          Ruanas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-27 19:00:00,4 days,1014097,1014097.0,100,0 days,1014097,1014097
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-24 19:00:00,1 day,72866,72866.0,100,0 days,72866,72866
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-09-26 15:00:00,2024-09-27 19:00:00,"1,5 days",941231,941231.0,100,0 days,941231,941231
          Mantenimiento,,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-25 13:00:00,"1,5 days",5085234,5085234.0,100,0 days,5085234,5085234
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-09-24 09:00:00,2024-09-25 13:00:00,"1,5 days",5085234,5085234.0,100,0 days,5085234,5085234
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-09-24 15:00:00,2024-09-24 19:00:00,"0,5 days",51311,51311.0,100,0 days,51311,51311
      Sala de Profesores,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-10-01 13:00:00,4 days,7361212,7361212.0,100,0 days,7361212,7361212
        Cubierta,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-10-01 13:00:00,4 days,7361212,7361212.0,100,0 days,7361212,7361212
          Canoas,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-27 19:00:00,"2,5 days",1194675,1194675.0,100,0 days,1194675,1194675
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-25 19:00:00,"0,5 days",73355,73355.0,100,0 days,73355,73355
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-09-27 09:00:00,2024-09-27 19:00:00,1 day,1121320,1121320.0,100,0 days,1121320,1121320
          Ruanas,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-10-01 13:00:00,4 days,1025663,1025663.0,100,0 days,1025663,1025663
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-26 13:00:00,1 day,73696,73696.0,100,0 days,73696,73696
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-09-30 09:00:00,2024-10-01 13:00:00,"1,5 days",951967,951967.0,100,0 days,951967,951967
          Mantenimiento,,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-26 19:00:00,"1,5 days",5089563,5089563.0,100,0 days,5089563,5089563
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-09-25 15:00:00,2024-09-26 19:00:00,"1,5 days",5089563,5089563.0,100,0 days,5089563,5089563
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-09-26 09:00:00,2024-09-26 13:00:00,"0,5 days",51311,51311.0,100,0 days,51311,51311
      Baños Niñas,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-07 13:00:00,4 days,7878565,7878565.0,100,0 days,7878565,7878565
        Cubierta,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-07 13:00:00,4 days,7878565,7878565.0,100,0 days,7878565,7878565
