Tarea,Inicio,Fin
"      DEMOLICIÓN CAJAS DE CONCRETO cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques y enchapes)",2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN CAMARA DE INSPECCIÓN cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques y enchap",2024-08-01 07:00:00,2024-08-20 17:00:00
"      DEMOLICIÓN MAMPOSTERÍA CANCHAS para instalaciones eléctricas y/o hidrosanitarias DESARROLLO 0.10m. cargue, transporte y botada de escombros. Incluye botada del material proveniente de estas canchas en botaderos oficiales o donde indique la interventoría.",2024-08-01 07:00:00,2024-08-20 17:00:00
    RETIRO,2024-08-01 07:00:00,2024-08-20 17:00:00
"      RETIRO DE TUBERÍA DE ALCANTARILLADO enterrada y/o confinada. Incluye el cargue y transporte de los materiales aprovechables hasta la bodega o donde lo indique la interventoría, el cargue transporte y botada de los escombros generados en botaderos oficiale",2024-08-01 07:00:00,2024-08-20 17:00:00
      ANULACIÓN CAJAS DE CONCRETO incluye lleno en arenilla compactado al 95% y tapa en concreto de 21 Mpa,2024-08-01 07:00:00,2024-08-20 17:00:00
      ANULACIÓN CÁMARA DE INSPECCIÓN EXISTENTE incluye tapa en concreto reforzado,2024-08-01 07:00:00,2024-08-20 17:00:00
"      RETIRO de cerramiento en malla y bloque de concreto, Incluye el cargue y transporte de los materiales hasta la bodega o donde lo indique la interventoría, el cargue transporte y botada de los escombros generados en botaderos oficiales o donde lo indique l",2024-08-01 07:00:00,2024-08-20 17:00:00
"      RETIRO Y REINSTALACION de estructura porteria cancha existente. Incluye el cargue y transporte de los materiales hasta la bodega o donde lo indique la interventoría, el cargue transporte y botada de los escombros generados en botaderos oficiales o donde l",2024-08-01 07:00:00,2024-08-20 17:00:00
"      RETIRO Y REUBICACIÓN PERRERAS existentes, Incluye el cargue y transporte de los materiales hasta la bodega o donde lo indique la interventoría, el cargue transporte y botada de los escombros generados en botaderos oficiales o donde lo indique la intervent",2024-08-01 07:00:00,2024-08-20 17:00:00
  MOVIMIENTO DE TIERRAS,2024-08-01 07:00:00,2024-08-20 17:00:00
    EXCAVACIÓN,2024-08-01 07:00:00,2024-08-20 17:00:00
"      EXCAVACIÓN MANUAL de material heterogéneo DE 0-2 m., bajo cualquier grado de humedad. Incluye: roca descompuesta, bolas de roca de volumen inferior a 0.35 m³., el cargue, transporte interno y externo, botada de material proveniente de las excavaciones en ",2024-08-01 07:00:00,2024-08-20 17:00:00
"      EXCAVACIÓN MECÁNICA de material heterogéneo DE 2-4 m, bajo cualquier grado de humedad. Incluye: roca descompuesta, bolas de roca de volumen inferior a 0.35 m³., el cargue, transporte interno y externo y botada de material proveniente de las excavaciones e",2024-08-01 07:00:00,2024-08-20 17:00:00
"      EXCAVACIÓN EN ROCA con CUÑA HIDRÁULICA. Incluye perforaciones con taladro neumático rotopercutor de 2"" de diámetro, desembombe, transporte interno y acopio donde lo indique la interventoría y todos los demás elementos necesarios para su correcta ejecución",2024-08-01 07:00:00,2024-08-20 17:00:00
"      Construcción de ENTIBADO TEMPORAL en tablón de madera (6 usos), bajo cualquier altura y grado de humedad. Incluye suministro, transporte y colocación de elementos en madera, el cargue, transporte interno y externo y botada de material sobrantes en los sit",2024-08-01 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de bomba sumergible para aguas lluvias 3/4HP descarga de 3"", incluye cheque mipel de 3"" universal, flotador eléctrico mércury o similar, arrancador termomagnético, alarma para mal funcionamiento de bomba, accesorios el",2024-08-01 07:00:00,2024-08-20 17:00:00
    LLENOS,2024-08-01 07:00:00,2024-08-20 17:00:00
"      LLENOS EN ARENILLA, compactados mecánicamente hasta obtener una densidad del 98% de la máxima obtenida en el ensayo del Próctor modificado. Incluye el suministro, transporte, colocación de la arenilla, la compactación de la misma y transporte interno. Y s",2024-08-01 07:00:00,2024-08-20 17:00:00
"      LLENOS EN MATERIAL PROVENIENTES DE LA EXCAVACIÓN, compactados mecánicamente hasta obtener una densidad del 95% de la máxima obtenida en el ensayo del próctor modificado. Incluye transporte interno. Su medida será en sitio ya compactado.",2024-08-01 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte y colocación de base granular de máximo Ø 1½"", reacomodado con medios MANUALES y compactado al 100% mínimo del ensayo del proctor modificado, según normas para la construcción de pavimentos del INVIAS, y todo lo necesario para su co",2024-08-01 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte y colocación de subbase granular de máximo Ø 2½"", reacomodado con medios mecánicos y compactado al 100% mínimo del ensayo del proctor modificado según normas para la construcción de pavimentos del INVIAS. Incluye todo lo necesario p",2024-08-01 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte y colocación de TRITURADO de 3/4 "" (19mm) y 1"" (25mm) para construcción de CIMENTACIÓN TIPO C1. Incluye transporte interno y todo lo necesario para su correcta instalación.",2024-08-01 07:00:00,2024-08-20 17:00:00
  CARGUE Y TRANSPORTE MANUAL,2024-08-07 07:00:00,2024-08-20 17:00:00
"    CARGUE MECANICO, TRANSPORTE Y BOTADA DE ESCOMBROS, incluye, el cargue con máquina, repaleo, transporte interno y externo y botada de material tipo escombro en los sitios donde lo indique la interventoría y su medida será en el sitio.",2024-08-07 07:00:00,2024-08-20 17:00:00
  ACARREOS,2024-08-01 07:00:00,2024-08-20 17:00:00
"    Acarreo interno de materiales en condiciones de fácil acceso, 0 - 100 metros",2024-08-01 07:00:00,2024-08-20 17:00:00
"    Acarreo interno de materiales para lugares de dificil acceso, pendiente, escalas y senderos en piedra o en tierra. Entre 0 a 100 m. (Incluye cargue, suministro y llenado de canecas de 5 galónes)",2024-08-01 07:00:00,2024-08-20 17:00:00
  REDES RESIDUALES,2024-08-01 07:00:00,2024-08-20 17:00:00
    Red residual externa ,2024-08-01 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-NOVAFORT, con un DIÁMETRO DE 200 mm. Incluye suministro y transporte de los materiales, bocas, accesorios, acondicionador de superficie y adhesivo Novafort y todos los elementos necesarios para su correc",2024-08-01 07:00:00,2024-08-20 17:00:00
    Red residual interna (sotano),2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, COLGADA O EN BAJANTE con un DIÁMETRO DE 3"", de aguas residuales. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmalte mate,",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, COLGADA O EN BAJANTES con un DIÁMETRO DE 4"", agua RESIDUAL. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmalte mate, colo",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, con un DIÁMETRO DE 4"", para aguas residuales o lluvia ENTERRADA y/o EMPOTRADA por losas. Incluye suministro y transporte de los materiales, accesorios, pegante, limpiador y todos los elementos",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, COLGADA O EN BAJANTES con un DIÁMETRO DE 6"", agua RESIDUAL O LLÚVIA. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmalte m",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, con un DIÁMETRO DE 6"", para aguas residuales o lluvia ENTERRADA y/o EMPOTRADA por losas. Incluye suministro y transporte de los materiales, accesorios, pegante, limpiador y todos los elementos",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-NOVAFORT, con un DIÁMETRO DE 200 mm. Incluye suministro y transporte de los materiales, bocas, accesorios, acondicionador de superficie y adhesivo Novafort y todos los elementos necesarios para su correc",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-VENTILACIÓN, con un DIÁMETRO DE 3"", para bajantes de aguas lluvias o reventilación. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmal",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-VENTILACIÓN, con un DIÁMETRO DE 4"", para bajantes de aguas lluvias o reventilación. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmal",2024-08-06 07:00:00,2024-08-20 17:00:00
      OBRAS COMPLEMENTARIAS REDES RESIDUALES,2024-08-06 07:00:00,2024-08-20 17:00:00
"        Construcción de cajas de registro de 60 x 60 x altura hasta 120 cm. en concreto de 21Mpa. con impermeabilizante integral tipo Sika o equivalente, con concrefibra el piso y tapa en concreto, la tapa con su respectivo herraje. Incluye suministro, transporte",2024-08-12 07:00:00,2024-08-20 17:00:00
"        Suministro e instalación de abrazaderas diametro 3""",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro e instalación de abrazaderas diametro 4""",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro e instalación de abrazaderas diametro 6""",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro, transporte e instalación de CUELLO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN Ø=1.20M. Incluye mortero para ajuste y pega del cuello al cono Según especificaciones técnicas de EEPP de Medellín y de diseño. Incluye suministro, transport",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro, transporte e instalación de CILINDRO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN de 1,20m de diámetro. Incluye mortero para ajuste, pega y resane de las juntas y perforaciones del cilindro, Según especificaciones técnicas de EEPP de Med",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro, transporte e instalación de CONO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN de 1,20m de diámetro. Incluye mortero para ajuste y pega del cono al cilindro y resane de las perforaciones, Según especificaciones técnicas de EEPP de Medellí",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro e instalación soporte vertical riel mecano + fijador 4""-3""-2"" pulgadas tuberia vertical",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro transporte y Pintura esmalte para TUBERIAS COLGANTES y BAJANTES de diferentes diámetros hasta 8"", color a definir por la Interventoria",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro e instalación de Empalme a caja, de bajantes de aguas residuales B.A.R. en sótano, incluye accesorios de tuberias, resane en la pared de la caja, transporte de materiales",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Suministro, colocación e instalación de Empalme de bajantes B.A.R. a Tuberia P.V.C. Sanitaria Ø6"" provisional, colgada en sótano incluye accesorios (codos, unión, buje), las abrazaderas se pagan en su respectivo item y todo lo demás para su correcta ejecu",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Remate de ventilación en diámetro 3"" en cubiertas, incluye todos los accesorios, codos, para su correcta instalación y funcionamiento. El sello a la cubierta se pagará en su respectivo item",2024-08-06 07:00:00,2024-08-20 17:00:00
"        Remate de ventilación en diámetro 4"" en cubiertas, incluye todos los accesorios, codos,para su correcta instalación y funcionamiento. El sello a la cubierta se pagará en su respectivo item",2024-08-06 07:00:00,2024-08-20 17:00:00
  AGUAS LLUVIAS,2024-08-06 07:00:00,2024-08-20 17:00:00
    Red ALL externa ,2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-NOVAFORT, con un DIÁMETRO DE 315 mm. Incluye suministro y transporte de los materiales, bocas, accesorios, acondicionador de superficie y adhesivo Novafort y todos los elementos necesarios para su correc",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-NOVAFORT, con un DIÁMETRO DE 355 mm. Incluye suministro y transporte de los materiales, bocas, accesorios, acondicionador de superficie y adhesivo Novafort y todos los elementos necesarios para su correc",2024-08-11 07:00:00,2024-08-20 17:00:00
    Red ALL interna (sotano),2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, COLGADA O EN BAJANTES con un DIÁMETRO DE 6"", agua RESIDUAL O LLÚVIA. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmalte m",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Construcción de cajas de registro de 60 x 60 x altura hasta 120 cm. en concreto de 21Mpa. con impermeabilizante integral tipo Sika o equivalente, con concrefibra el piso y tapa en concreto, la tapa con su respectivo herraje. Incluye suministro, transporte",2024-08-12 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-SANITARIA, COLGADA O EN BAJANTE con un DIÁMETRO DE 3"", de aguas residuales. Incluye suministro y transporte de los materiales, bocas, accesorios, pegante, limpiador, wash primer, acabado en esmalte mate,",2024-08-06 07:00:00,2024-08-20 17:00:00
"      Suministro transporte y Pintura esmalte para TUBERIAS COLGANTES y BAJANTES de diferentes diámetros hasta 8"", color a definir por la Interventoria",2024-08-06 07:00:00,2024-08-20 17:00:00
    OBRAS COMPLEMENTARIAS ALL externa,2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de CUELLO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN Ø=1.20M. Incluye mortero para ajuste y pega del cuello al cono Según especificaciones técnicas de EEPP de Medellín y de diseño. Incluye suministro, transport",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de CILINDRO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN de 1,20m de diámetro. Incluye mortero para ajuste, pega y resane de las juntas y perforaciones del cilindro, Según especificaciones técnicas de EEPP de Med",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de CONO PREFABRICADO EN CONCRETO PARA CÁMARA DE INSPECCIÓN de 1,20m de diámetro. Incluye mortero para ajuste y pega del cono al cilindro y resane de las perforaciones, Según especificaciones técnicas de EEPP de Medellí",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Construcción de SUMIDERO de aguas lluvias TIPO B (1.10m x 0.80m medidas externas y prof=0.90m e=0.20m), en concreto de 17.5 Mpa. Incluye suministro, transporte y colocación del concreto, reja metálica, formaleta, vibrado y todo lo necesario para su correc",2024-08-11 07:00:00,2024-08-20 17:00:00
  RED DE ABASTOS (edificio),2024-08-11 07:00:00,2024-08-20 17:00:00
"    RETIRO DE CIELO FALSO, en cualquier material, madera, drywall. Incluye lámina, perfiles, estructura de madera, cargue, transporte y botada de escombros en botaderos oficiales y la recuperación de los materiales aprovechables y/o su transporte hasta la bod",2024-08-11 07:00:00,2024-08-20 17:00:00
"    RETIRO DE TUBERÍA DE ACUEDUCTO. Incluye retiro de vávulas existentes, accesorios y tuberias de cualquier material. Incluye el cargue y transporte de los materiales aprovechables hasta la bodega o donde lo indique la interventoría, el cargue transporte y b",2024-08-11 07:00:00,2024-08-20 17:00:00
    TUBERIA,2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-PRESIÓN, con un DIÁMETRO DE 2"" RDE 21, 200 PSI. Incluye todos los accesorios en PVC de diámetro 2"" incluyendo todos los accesorios reducidos que se requieran para su correcta instalación y funcionamiento",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de TUBERÍA PVC-PRESIÓN, con un DIÁMETRO DE 3"" RDE 21, 200 PSI. Incluye todos los accesorios en PVC de diámetro 3"" incluyendo todos los accesorios reducidos que se requieran para su instalación. Estos deberán estar corr",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e Instalación de tubería PVC-P, RDE 21, 200 PSI, diámetro 1 1/2"", incluye todos los accesorios en PVC de diámetro 1 1/2"" incluyendo todos los accesorios reducidos que se requieran para su correcta instalación. Estos deberán estar co",2024-08-11 07:00:00,2024-08-20 17:00:00
    ACCESORIOS COMPLEMENTARIOS,2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro, transporte e instalación de válvula compuerta marca RW 1 1/2"" o equivalente. Se entregará debidamente instalada sin presencia de fugas ni fisuras, sometida al sistema ya presurizado. Incluye todos los elementos requeridos para su correcta inst",2024-08-19 07:00:00,2024-08-20 17:00:00
"      Tee en anillos principales Tee Ø3"" x Ø2 1/2"", Ø3"" x Ø2"", Ø3"" x Ø1 1/2"", Ø3"" x Ø1"",Ø3"" x Ø3/4"",Ø3"" x Ø1/2""",2024-08-19 07:00:00,2024-08-20 17:00:00
"      Tee en anillos principales Tee Ø2"" x Ø2"",Ø2"" x Ø1 1/2"", Ø2"" x Ø1"",Ø2"" x Ø3/4"",Ø2"" x Ø 1/2""",2024-08-19 07:00:00,2024-08-20 17:00:00
"      Suministro e instalación de abrazaderas diametro 2""",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro e instalación de abrazaderas diametro 3""",2024-08-11 07:00:00,2024-08-20 17:00:00
"      Suministro e instalación soporte vertical riel mecano + fijador 4""-3""-2"" pulgadas tuberia vertical",2024-08-11 07:00:00,2024-08-20 17:00:00
  OBRAS COMPLEMENTARIAS (edificio),2024-08-06 07:00:00,2024-08-20 17:00:00
"    Registro en cielo falso para válvulas, dimensiones 0.40m x 0.40m. Se deja etiqueta de localización de válvula.",2024-08-11 07:00:00,2024-08-20 17:00:00
"    Construcción de MUROS PARA BUITRONES EN DRYWALL 1/2"" una cara. Incluye estructura en perfil galvanizado de 6 cms, tornillos, bisel esquinero en PVC, acabado en pintura y todos los demás elementos necesarios para su correcta construcción y funcionamiento.",2024-08-06 07:00:00,2024-08-20 17:00:00
"    Suministro e instalación de cielo raso nuevo con lámina mineral color blanco de 1,24x0.62 m. y varillas de aluminio natural de 1"".",2024-08-11 07:00:00,2024-08-20 17:00:00
"    Recuperación e reinstalación de cielo raso existente con lámina mineral color blanco de 1,24x0.62 m. y varillas de aluminio natural de 1"".",2024-08-11 07:00:00,2024-08-20 17:00:00
"    Suministro transporte e instalación de sellos e impermeabilización de empates entre montantes y cubierta, aprobado por interventoria, no incluye manto o revestimientos adicionales , para este caso deberan ser conteplado en cada item adicional.",2024-08-11 07:00:00,2024-08-20 17:00:00
"    Construcción de MAMPOSTERÍA EN LADRILLO PARA REVOCAR O ENCHAPAR una cara o dos caras, DE 15 x 20 x 40 cm. ESPESOR DE 15 cm. Incluye el suministro y transporte del ladrillo, el mortero de pega 1:4 espesor max=0.01 m y todos los demás elementos necesarios p",2024-08-13 07:00:00,2024-08-20 17:00:00
"    Colocación de REVOQUE con mortero 1:4 IMPERMEABILIZADO con Sika 1 o equivalente, EN MUROS. Incluye suministro y transporte de los materiales, ranuras, filetes, y todos los demás elementos necesarios para su correcta construcción.",2024-08-13 07:00:00,2024-08-20 17:00:00
"    Colocación de ENCHAPE CERÁMICO PARED BLANCO DE 30 x 60 cm. Incluye suministro y transporte de los materiales, mortero adhesivo para enchapes tipo pegacor o equivalente, lechada preparada (boquilla) tipo concolor de sumicol o equivalente del mismo color de",2024-08-13 07:00:00,2024-08-20 17:00:00
"    RESANE Y REPINTE de PINTURA ACRÍLICA tipo Koraza o equivalente para exteriores (hidrorepelente) de primera calidad que cumpla con la Norma NTC 1335, 2 manos o las que sean necesarias para obtener una superficie pareja y homogénea, a satisfacción de la int",2024-08-13 07:00:00,2024-08-20 17:00:00
"    Aplicación de PINTURA EPOXIPOLIAMIDA BASE SOLVENTE EN MUROS (dos componentes proporción 1:3, no tóxica) tipo epoxiconstrucción de pintuco o equivalente de primera calidad, esmalte de poliuretano, semimate, sobre estuco plástico, 2 a 3 manos o las necesari",2024-08-13 07:00:00,2024-08-20 17:00:00
FASE 2,2024-08-21 07:00:00,2024-10-21 17:00:00
  PRELIMINARES,2024-08-21 07:00:00,2024-08-28 17:00:00
"    LOCALIZACIÓN, TRAZADO Y REPLANTEO. Se utilizará personal experto con equipo de precisión. Se hará con la frecuencia que lo indique la interventoría. Incluye demarcación con pintura, línea de trazado, corte de piso, libretas y planos.",2024-08-21 07:00:00,2024-08-28 17:00:00
"    Instalación de CERRAMIENTO PROVISIONAL en tela verde polietileno de alta densidad y resistencia 65 gr/m2 con una altura de 2,10 m, estacones de madera común para fijación vertical de altura de 2,50 m puesto mínimo cada 2,0 m y para apuntalamiento mínimo c",2024-08-21 07:00:00,2024-08-28 17:00:00
  DEMOLICIONES Y RETIROS,2024-08-23 07:00:00,2024-09-21 17:00:00
    DEMOLICIONES,2024-08-30 07:00:00,2024-09-13 17:00:00
"      DEMOLICIÓN ANDENES O PISOS, cargue, transporte y botada de escombros de ESPESOR MÁXIMO DE 0.25m en CONCRETO. Incluye retiro de cordones, retiro de enchape (baldosa, baldosín forros en arenón, madera, vinilo, granito esmerilado, concreto, pisos en gres, en",2024-08-30 07:00:00,2024-09-13 17:00:00
"      DEMOLICIÓN PAVIMENTO ASFÁLTICO (para brecha), cargue, transporte y botada de escombros, HASTA ESPESOR DE 4"". Incluye corte con máquina de disco según trazado y compresor neumático con martillo, además recuperación de los materiales aprovechables o su tran",2024-08-30 07:00:00,2024-09-13 17:00:00
"      DEMOLICIÓN PISO EN CONCRETO de cualquier resistencia con espesor hasta de 12 cm, manual o mecánicamente. Incluye cargue, transporte y botada de escombros, retiro de refuerzo e instalaciones embebidas, compresor neumático con martillo, además recuperación ",2024-08-30 07:00:00,2024-09-13 17:00:00
"      DEMOLICIÓN ESTRUCTURAS DE CONCRETO cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques y enc",2024-08-30 07:00:00,2024-09-13 17:00:00
"      DEMOLICIÓN CAJAS DE CONCRETO cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques y enchapes)",2024-08-30 07:00:00,2024-09-08 17:00:00
"      DEMOLICIÓN MAMPOSTERÍA CANCHAS para instalaciones eléctricas y/o hidrosanitarias DESARROLLO 0.10m. cargue, transporte y botada de escombros. Incluye botada del material proveniente de estas canchas en botaderos oficiales o donde indique la interventoría.",2024-08-30 07:00:00,2024-09-08 17:00:00
    RETIRO,2024-08-23 07:00:00,2024-09-21 17:00:00
"      RETIRO DE TUBERÍA DE ALCANTARILLADO enterrada y/o confinada. Incluye el cargue y transporte de los materiales aprovechables hasta la bodega o donde lo indique la interventoría, el cargue transporte y botada de los escombros generados en botaderos oficiale",2024-08-30 07:00:00,2024-09-08 17:00:00
      ANULACIÓN CAJAS DE CONCRETO incluye lleno en arenilla compactado al 95% y tapa en concreto de 21 Mpa,2024-09-09 07:00:00,2024-09-10 17:00:00
      ANULACIÓN CÁMARA DE INSPECCIÓN EXISTENTE incluye tapa en concreto reforzado,2024-09-09 07:00:00,2024-09-10 17:00:00
"      RETIRO Y DEMOLICIÓN CAMARA DE INSPECCIÓN cargue, transporte y botada de escombros, manual o mecánicamente, de cualquier resistencia, reforzado o ciclópeo, y en cualquier clase de estructura. Incluye retiro de refuerzo y cualquier tipo de acabado (revoques",2024-09-09 07:00:00,2024-09-10 17:00:00
"      RETIRO DE CIELO FALSO, en cualquier material, madera, drywall. Incluye lámina, perfiles, estructura de madera, cargue, transporte y botada de escombros en botaderos oficiales y la recuperación de los materiales aprovechables y/o su transporte hasta la bod",2024-08-23 07:00:00,2024-09-21 17:00:00
"      RETIRO DE TUBERÍA DE ACUEDUCTO. Incluye retiro de vávulas existentes, accesorios y tuberias de cualquier material. Incluye el cargue y transporte de los materiales aprovechables hasta la bodega o donde lo indique la interventoría, el cargue transporte y b",2024-08-23 07:00:00,2024-09-21 17:00:00
  MOVIMIENTO DE TIERRAS,2024-08-30 07:00:00,2024-09-21 17:00:00
    EXCAVACIÓN,2024-08-30 07:00:00,2024-09-21 17:00:00
"      EXCAVACIÓN MANUAL de material heterogéneo DE 0-2 m., bajo cualquier grado de humedad. Incluye: roca descompuesta, bolas de roca de volumen inferior a 0.35 m³., el cargue, transporte interno y externo, botada de material proveniente de las excavaciones en ",2024-08-30 07:00:00,2024-09-21 17:00:00
"      EXCAVACIÓN MECÁNICA de material heterogéneo DE 2-4 m, bajo cualquier grado de humedad. Incluye: roca descompuesta, bolas de roca de volumen inferior a 0.35 m³., el cargue, transporte interno y externo y botada de material proveniente de las excavaciones e",2024-08-30 07:00:00,2024-09-21 17:00:00
"      EXCAVACIÓN EN ROCA con CUÑA HIDRÁULICA. Incluye perforaciones con taladro neumático rotopercutor de 2"" de diámetro, desembombe, transporte interno y acopio donde lo indique la interventoría y todos los demás elementos necesarios para su correcta ejecución",2024-08-30 07:00:00,2024-09-21 17:00:00
"      Construcción de ENTIBADO TEMPORAL en tablón de madera (6 usos), bajo cualquier altura y grado de humedad. Incluye suministro, transporte y colocación de elementos en madera, el cargue, transporte interno y externo y botada de material sobrantes en los sit",2024-08-30 07:00:00,2024-09-21 17:00:00
    LLENOS,2024-08-30 07:00:00,2024-09-21 17:00:00
