INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
CENTRO DE SALUD SALVADOR;ALCALDÍA;96223;Salud;Grupo 3;2023;3302-205;09 BUENOS AIRES;Obra;En ejecución;18/05/2023;150;165;0;315;02/12/2024;0,00; $ 381.193.739 ; $ 1.026.400.540 ;-$ 32.373.175 ; $ 1.375.221.104 ; $ - ; $ 4.845.326 ;; $ 1.380.066.430 ; $ 1.369.723.086 ; $ - ; $ - ;; $ 1.369.723.086 ;30/08/2024;99,25%;100,00%; $ 1.380.066.430 ;100,00%; $ 1.380.066.430 ;0,00%;100,00%;100,00%;0,00%;CARLOS MAURICIO SUAREZ MULETT;;96223 DE 2022 VF SALUD
UNIDAS HOSPITALRIA BUENOS AIRES;ALCALDÍA;96223;Salud;Grupo 3;2023;3302-205;09 BUENOS AIRES;Obra;En ejecución;18/05/2023;150;165;0;315;02/12/2024;0,00; $ - ; $ 1.898.688.524 ; $ 329.256.850 ; $ 2.227.945.374 ; $ - ; $ 23.257.567 ;; $ 2.251.202.941 ; $ 1.843.117.079 ; $ - ; $ - ;; $ 1.843.117.079 ;29/02/2024;81,87%;83,00%; $ 1.868.498.441 ;81,00%; $ 1.823.474.382 ;-2,00%;82,98%;78,02%;-4,96%;CARLOS MAURICIO SUAREZ MULETT;;96223 DE 2022 VF SALUD
CENTRO DE SALUD CAMPO VALDES;ALCALDÍA;96223;Salud;Grupo 6;2023;3302-205;04 ARANJUEZ;Obra;En ejecución;02/10/2023;150;278;;428;02/12/2024;0,00; $ 2.216.348.591 ; $ - ;-$ 178.902.985 ; $ 2.037.445.606 ; $ - ; $ 51.795.686 ;; $ 2.089.241.292 ; $ 727.186.916 ; $ - ; $ - ;; $ 727.186.916 ;30/09/2024;34,81%;78,00%; $ 1.629.608.208 ;58,00%; $ 1.211.759.949 ;-20,00%;74,33%;64,45%;-9,88%;CARLOS MAURICIO SUAREZ MULETT;NATALIA ALVAREZ CORREA;96223 DE 2022 VF SALUD
CENTRO DE SALUD VILLA DEL SOCORRO;ALCALDÍA;96223;Salud;Grupo 6;2023;3302-205;02 SANTA CRUZ;Obra;En ejecución;02/10/2023;150;278;;428;02/12/2024;0,00; $ 741.327.176 ; $ 71.310.628 ; $ 19.179.581 ; $ 831.817.385 ; $ - ; $ 16.648.613 ;; $ 848.465.998 ; $ 603.849.864 ; $ - ; $ - ;; $ 603.849.864 ;30/09/2024;71,17%;99,00%; $ 839.981.338 ;83,00%; $ 704.226.778 ;-16,00%;96,74%;86,46%;-10,28%;CARLOS MAURICIO SUAREZ MULETT;NATALIA ALVAREZ CORREA;96223 DE 2022 VF SALUD
VIAS URBANAS Y RUARLES;OTROS;257;Girardot;Vias Urbanas;2023;3302-278;;Obra;Suspendido;22/08/2023;150;;13;163;31/01/2024;0,00; $ 3.550.225.279 ; $ - ; $ - ; $ 3.550.225.279 ; $ - ; $ - ;; $ 3.550.225.279 ; $ 2.685.434.335 ; $ - ; $ - ;; $ 2.685.434.335 ;;75,64%;100,00%; $ 3.550.225.279 ;100,00%; $ 3.550.225.279 ;0,00%;;;0,00%;JOSE GILMER TAMARA;;257 DE 2023 GIRARDOT
INFRAESTRUCTURA FISICA EDUCATIVA;OTROS;257;Girardot;Infraestructura Educativa;2023;3302-279;;Obra;Suspendido;22/08/2023;150;;13;163;31/01/2024;0,00; $ 3.252.677.715 ; $ - ; $ - ; $ 3.252.677.715 ; $ - ; $ - ;; $ 3.252.677.715 ; $ 695.759.071 ; $ - ; $ - ;; $ 695.759.071 ;;21,39%;94,00%; $ 3.057.517.052 ;19,00%; $ 618.008.766 ;-75,00%;94,00%;21,39%;-72,61%;JOSE GILMER TAMARA;;257 DE 2023 GIRARDOT
JUNTAS DE ACCION COMUNAL;OTROS;257;Girardot;Urbanismo ;2023;3302-280;;Obra;Suspendido;22/08/2023;150;;13;163;31/01/2024;0,00; $ 1.343.157.075 ; $ - ; $ - ; $ 1.343.157.075 ; $ - ; $ - ;; $ 1.343.157.075 ; $ 627.018.587 ; $ - ; $ - ;; $ 627.018.587 ;;46,68%;99,00%; $ 1.329.725.504 ;47,00%; $ 631.283.825 ;-52,00%;99,00%;46,68%;-52,32%;JOSE GILMER TAMARA;;257 DE 2023 GIRARDOT
ZONAS RECREATIVAS Y COMERCIALES;OTROS;257;Girardot;Vendedores estacionarios;2023;3302-292;;Obra;Suspendido;28/08/2023;196;;13;209;23/03/2024;0,00; $ 1.602.606.144 ; $ - ; $ - ; $ 1.602.606.144 ; $ - ; $ - ;; $ 1.602.606.144 ; $ 317.672.682 ; $ - ; $ - ;; $ 317.672.682 ;;19,82%;54,00%; $ 865.407.318 ;25,00%; $ 400.651.536 ;-29,00%;;;0,00%;JOSE GILMER TAMARA;;257 DE 2023 GIRARDOT
PARQUES INFANTILES Y BIOSALUDABLES;OTROS;257;Girardot;Espacios recreativos;2023;3302-316;;Obra;Suspendido;13/09/2023;150;;13;163;22/02/2024;0,00; $ 1.782.710.944 ; $ - ; $ - ; $ 1.782.710.944 ; $ - ; $ - ;; $ 1.782.710.944 ; $ 490.570.884 ; $ - ; $ - ;; $ 490.570.884 ;;27,52%;84,00%; $ 1.497.477.193 ;32,00%; $ 570.467.502 ;-52,00%;;;0,00%;JOSE GILMER TAMARA;;257 DE 2023 GIRARDOT
INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2023;3302-317;08 VILLA HERMOSA;Obra;Suspendido;07/11/2023;150;115;;265;28/07/2024;0,00; $ 513.788.394 ; $ - ;; $ 513.788.394 ; $ 35.552.242 ; $ 7.110.449 ;; $ 556.451.085 ; $ 261.635.832 ; $ - ; $ - ;; $ 261.635.832 ;24/05/2024;47,02%;100,00%; $ 556.451.085 ;85,00%; $ 472.983.422 ;-15,00%;100,00%;80,00%;-20,00%;JUAN ESTEBAN IDARRAGA;MARY LUZ ALZATE GIRALDO;95806 DE 2022 EDUCACIÓN
JARDIN INFANTIL BUEN COMIENZO SANTA EUFRASIA;ALCALDÍA;96269;Buen comienzo;Componente 3;2023;3302-325;12 LA AMERICA;Obra;Suspendido;02/10/2023;180;;;180;29/03/2024;0,00; $ 3.995.858.592 ; $ - ; $ - ; $ 3.995.858.592 ;;;; $ 3.995.858.592 ; $ 1.076.767.886 ;; $ - ;; $ 1.076.767.886 ;13/03/2024;26,95%;61,00%; $ 2.437.473.741 ;17,00%; $ 679.295.961 ;-44,00%;45,17%;27,26%;-17,91%;DIEGO FERNANDO DURÁN;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
INSTITUCION EDUCATIVA JAVIERA LONDOÑO SEVILLA;ALCALDÍA;95806;Educación - Vigencias futuras;Restituciones parciales;2023;3302-329;04 ARANJUEZ;Obra;En ejecución;22/01/2024;60;256;;316;02/12/2024;0,00; $ - ; $ 602.095.452 ;; $ 602.095.452 ; $ 17.119.938 ; $ 4.279.985 ;; $ 623.495.375 ; $ 278.278.646 ; $ 5.567.554 ; $ - ;; $ 283.846.200 ;10/10/2024;45,52%;79,00%; $ 492.561.346 ;74,00%; $ 461.386.578 ;-5,00%;80,00%;71,00%;-9,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ALONSO ISAZA PULIDO;95806 DE 2022 EDUCACIÓN
SECCION ESCUELA JUAN PABLO II;ALCALDÍA;95806;Educación - Vigencias futuras;Restituciones parciales;2023;3302-329;15 GUAYABAL;Obra;En ejecución;22/01/2024;120;196;;316;02/12/2024;0,00; $ - ; $ 711.225.761 ;; $ 711.225.761 ; $ 36.116.538 ; $ 9.029.134 ;; $ 756.371.433 ; $ 600.906.681 ; $ 15.044.492 ; $ - ;; $ 615.951.173 ;10/10/2024;81,44%;99,00%; $ 748.807.719 ;99,00%; $ 748.807.719 ;0,00%;87,00%;90,00%;3,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ALONSO ISAZA PULIDO;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA FEDERICO OZANAM;ALCALDÍA;95806;Educación - Vigencias futuras;Restituciones parciales;2023;3302-329;09 BUENOS AIRES;Obra;En ejecución;22/01/2024;120;196;;316;02/12/2024;0,00; $ - ; $ 865.096.153 ;; $ 865.096.153 ; $ 48.606.787 ; $ 12.151.697 ;; $ 925.854.637 ; $ 629.208.950 ; $ 18.097.091 ; $ - ;; $ 647.306.041 ;10/10/2024;69,91%;100,00%; $ 925.854.637 ;100,00%; $ 925.854.637 ;0,00%;100,00%;100,00%;0,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ALONSO ISAZA PULIDO;95806 DE 2022 EDUCACIÓN
CENTRO EDUCATIVO EL PLACER;ALCALDÍA;95806;Educación - Vigencias futuras;Restituciones parciales;2023;3302-329;90 SANTA ELENA;Obra;En ejecución;09/10/2023;300;121;;421;02/12/2024;0,00; $ 3.865.634.884 ; $ 636.052.053 ;; $ 4.501.686.937 ; $ 389.446.033 ; $ 77.889.207 ;; $ 4.969.022.177 ; $ 2.203.818.899 ; $ 35.255.477 ; $ - ;; $ 2.239.074.376 ;10/10/2024;45,06%;83,00%; $ 4.124.288.407 ;76,00%; $ 3.776.456.855 ;-7,00%;80,00%;76,00%;-4,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ALONSO ISAZA PULIDO;95806 DE 2022 EDUCACIÓN
CENTRO DE SALUD EL POBLADO;ALCALDÍA;96223;Salud;Grupo 4;2023;3302-361;14 POBLADO;Obra;En ejecución;04/01/2024;165;155;;320;18/11/2024;0,00; $ 619.270.280 ; $ 292.111.004 ; $ 158.552.819 ; $ 1.069.934.103 ;; $ 14.179.135 ;; $ 1.084.113.238 ; $ 1.067.899.502 ; $ - ; $ - ;; $ 1.067.899.502 ;30/06/2024;98,50%;100,00%; $ 1.084.113.238 ;100,00%; $ 1.084.113.238 ;0,00%;100,00%;100,00%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA MARCELA BUILES RODRIGUEZ;96223 DE 2022 VF SALUD
CENTRO DE SALUD TRINIDAD;ALCALDÍA;96223;Salud;Grupo 4;2023;3302-361;15 GUAYABAL;Obra;En ejecución;26/12/2023;174;155;;329;18/11/2024;0,00; $ 474.496.848 ; $ 33.989.180 ;-$ 45.181.933 ; $ 463.304.095 ;; $ 10.398.032 ;; $ 473.702.127 ; $ 443.080.050 ; $ - ; $ - ;; $ 443.080.050 ;30/06/2024;93,54%;100,00%; $ 473.702.127 ;99,00%; $ 468.965.106 ;-1,00%;100,00%;100,00%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA MARCELA BUILES RODRIGUEZ;96223 DE 2022 VF SALUD
UH SAN ANTONIO DE PRADO;ALCALDÍA;96223;Salud;Grupo 4;2023;3302-361;80 SAN ANTONIO DE PRADO;Obra;En ejecución;05/02/2024;133;155;;288;18/11/2024;0,00; $ 1.323.406.530 ; $ 1.102.701.403 ;-$ 84.162.420 ; $ 2.341.945.513 ;; $ 31.194.096 ;; $ 2.373.139.609 ; $ 995.959.610 ; $ - ; $ - ;; $ 995.959.610 ;30/06/2024;41,97%;95,00%; $ 2.254.482.629 ;65,00%; $ 1.542.540.746 ;-30,00%;92,60%;62,30%;-30,30%;CARLOS MAURICIO SUAREZ MULETT;LAURA MARCELA BUILES RODRIGUEZ;96223 DE 2022 VF SALUD
BARRIO 13 DE NOVIEMBRE;ALCALDÍA;57661 DE 2014;MIB;Obra;2023;3302-368;08 VILLA HERMOSA;Obra;En ejecución;11/12/2023;240;116;;356;30/11/2024;0,00; $ 5.411.662.534 ; $ 2.361.804.781 ;; $ 7.773.467.315 ; $ 160.000.000 ; $ 156.927.257 ;; $ 8.090.394.572 ; $ 4.868.777.592 ; $ 65.127.091 ; $ - ; $ 13.040.060 ; $ 4.933.904.683 ;20/09/2024;60,98%;99,00%; $ 8.009.490.626 ;87,00%; $ 7.038.643.278 ;-12,00%;99,86%;70,60%;-29,26%;MÓNICA VÉLEZ;PAULA ANDREA QUINTERO URIBE;57661 DE 2014-MIB
PARQUE SAN LUIS BELTRÁN;OTROS;162-2023;Yondó;Parques;2023;3302-387;;Obra;Suspendido;10/04/2024;150;0;0;150;06/09/2024;0,00; $ 1.576.167.935 ; $ - ; $ - ; $ 1.576.167.935 ; $ - ; $ - ;; $ 1.576.167.935 ; $ - ; $ - ; $ - ;; $ - ;;0,00%;21,00%; $ 330.995.266 ;25,00%; $ 394.041.984 ;4,00%;9,27%;14,76%;5,49%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;162 DE 2023- YONDÓ
UNION TEMPORAL EDU GIRARDOT;OTROS;257;Girardot;Interventoría;2023;3306-15;;Interventoría;Suspendido;15/08/2023;180;;13;193;23/02/2024;0,00; $ 912.501.453 ; $ - ; $ - ; $ 912.501.453 ; $ - ; $ - ;; $ 912.501.453 ; $ 532.292.515 ; $ - ; $ - ;; $ 532.292.515 ;;58,33%;100,00%; $ 912.501.453 ;100,00%; $ 912.501.453 ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;;257 DE 2023 GIRARDOT
INTERVENTORIA JARDINES BUEN COMIENZO;ALCALDÍA;96269;Buen comienzo;Componente 3;2023;3306-19;;Interventoría;Suspendido;02/10/2023;180;;;180;29/03/2024;0,00; $ 1.046.245.682 ; $ - ; $ 86.752.823 ; $ 1.132.998.505 ;;;; $ 1.132.998.505 ; $ 917.138.774 ; $ - ; $ - ;; $ 917.138.774 ;19/03/2024;80,95%;; $ - ;; $ - ;0,00%;;;0,00%;DIEGO FERNANDO DURÁN;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
INGENIERÍA DE ALTURA S.A.S.;ALCALDÍA;95806;Educación - Vigencias futuras;Restituciones parciales;2023;3306-21;;Interventoría;En ejecución;09/10/2023;300;151;;451;01/01/2025;30,00; $ 517.519.018 ; $ 463.702.713 ; $ - ; $ 981.221.731 ;;;; $ 981.221.731 ; $ 720.245.606 ; $ - ; $ - ;; $ 720.245.606 ;15/10/2024;73,40%;; $ - ;; $ - ;0,00%;;;0,00%;DIEGO FERNANDO DURÁN;JORGE ALONSO ISAZA PULIDO;95806 DE 2022 EDUCACIÓN
BARRIO 13 DE NOVIEMBRE;ALCALDÍA;57661 DE 2014;MIB;Interventoría;2023;3306-23;08 VILLA HERMOSA;Interventoría;En ejecución;11/12/2023;255;101;;356;30/11/2024;0,00; $ 780.840.515 ; $ 246.235.554 ;; $ 1.027.076.069 ;;;; $ 1.027.076.069 ; $ 743.365.267 ; $ - ; $ - ;; $ 743.365.267 ;23/09/2024;72,38%;93,26%; $ 957.851.142 ;93,26%; $ 957.851.142 ;0,00%;93,26%;93,26%;0,00%;MÓNICA VÉLEZ;PAULA ANDREA QUINTERO URIBE;57661 DE 2014-MIB
JULIÁN CASTRO BELTRÁN - PARQUE SAN LUIS BELTRÁN;OTROS;162-2023;Yondó;Parques;2023;3306-25;;Interventoría;Suspendido;10/04/2024;150;;;150;06/09/2024;0,00; $ 111.913.771 ; $ - ; $ - ; $ 111.913.771 ;;;; $ 111.913.771 ; $ - ; $ - ; $ - ;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;;;0,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;162 DE 2023- YONDÓ
UNIÓN TEMPORAL AOI ESTEC 20;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-160;;Interventoría;Sin acta de inicio;;;;;0;;;; $ - ;; $ - ;;;; $ - ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;95806 DE 2022 EDUCACIÓN
Cuarta Brigada 2 Etapa;ALCALDÍA;4600098547;Seguridad;Cuarta Brigada;2024;3302-130;11 LAURELES ESTADIO;obra;En ejecución;27/05/2024;180;;;180;22/11/2024;0,00; $ 10.109.498.416 ; $ - ;; $ 10.109.498.416 ;;;; $ 10.109.498.416 ; $ 1.392.496.093 ;;;; $ 1.392.496.093 ;01/11/2024;13,77%;90,00%; $ 9.098.548.574 ;80,00%; $ 8.087.598.733 ;-10,00%;83,00%;52,00%;-31,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ANDRÉS OSORIO AGUILAR;98547 DE 2023 CUARTA BRIGADA
INSTITUCION EDUCATIVA FINCA LA MESA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;02 SANTA CRUZ;Obra;En ejecución;11/07/2024;90;68;;158;15/12/2024;13,00; $ 256.521.738 ; $ - ;; $ 256.521.738 ; $ 7.908.403 ; $ 3.603.651 ;; $ 268.033.792 ; $ 51.830.547 ;;;; $ 51.830.547 ;31/10/2024;19,34%;99,00%; $ 265.353.454 ;58,00%; $ 155.459.599 ;-41,00%;99,00%;58,00%;-41,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
SECCION ESCUELA CARPINELO AMAPOLITA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;01 POPULAR;Obra;En ejecución;11/07/2024;90;90;;180;06/01/2025;35,00; $ 257.147.961 ; $ - ;; $ 257.147.961 ; $ 8.006.353 ; $ 3.612.463 ;; $ 268.766.777 ; $ 192.767.970 ;;;; $ 192.767.970 ;31/10/2024;71,72%;99,00%; $ 266.079.109 ;99,00%; $ 266.079.109 ;0,00%;99,00%;99,00%;0,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA NUEVO HORIZONTE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;01 POPULAR;Obra;En ejecución;11/07/2024;90;68;;158;15/12/2024;13,00; $ 802.669.046 ; $ - ;; $ 802.669.046 ; $ 24.084.539 ; $ 11.276.023 ;; $ 838.029.608 ; $ 304.530.178 ;;;; $ 304.530.178 ;31/10/2024;36,34%;99,00%; $ 829.649.312 ;55,00%; $ 460.916.284 ;-44,00%;99,00%;55,00%;-44,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;02 SANTA CRUZ;Obra;En ejecución;11/07/2024;90;90;;180;06/01/2025;35,00; $ 212.724.621 ; $ - ;; $ 212.724.621 ; $ 6.629.819 ; $ 2.988.389 ;; $ 222.342.829 ; $ 147.739.155 ;;;; $ 147.739.155 ;31/10/2024;66,45%;99,00%; $ 220.119.401 ;95,00%; $ 211.225.688 ;-4,00%;99,00%;95,00%;-4,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA ASIA IGNACIANA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;02 SANTA CRUZ;Obra;En ejecución;11/07/2024;90;90;;180;06/01/2025;35,00; $ 131.281.446 ; $ - ;; $ 131.281.446 ; $ 4.046.335 ; $ 1.844.262 ;; $ 137.172.043 ; $ 117.627.545 ;;;; $ 117.627.545 ;31/10/2024;85,75%;99,00%; $ 135.800.323 ;95,00%; $ 130.313.441 ;-4,00%;99,00%;95,00%;-4,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
